unit_id,S1_Incoming,S2_Clean,S3_Deposition,S4_Litho,S5_Etch,S6_Implant,S7_Anneal,S8_Final_CD
1,98.5368,42.2807,8.4743,46.9018,43.1803,51.4811,5.3108,42.2249
2,98.9194,97.6192,34.0312,53.4951,68.2316,72.0471,33.2776,42.6243
3,97.8829,100.9704,98.4796,66.539,73.4967,83.5491,45.1175,62.7327
4,100.8827,96.7505,100.2851,99.4357,81.183,84.9525,56.8581,67.0111
5,99.2089,100.6047,100.7395,102.3623,96.1672,90.416,63.5998,69.7377
6,101.8487,98.7509,101.5044,99.1759,100.9974,97.3318,93.9647,79.0499
7,101.9083,99.6721,96.9524,99.0058,101.3681,100.8478,100.5188,98.6532
8,98.9831,99.6041,101.6929,96.7359,101.7774,100.1878,99.2334,97.9828
9,103.0002,94.9198,99.9298,100.8461,99.1731,99.6296,103.03,95.9573
10,97.8671,101.036,97.8129,101.5205,101.1007,100.3437,98.2274,97.71
11,96.9893,96.6661,102.9044,100.1762,101.753,100.3492,104.2507,98.5861
12,98.0982,100.2647,95.127,99.1247,101.2137,103.2643,103.7216,103.167
13,98.8755,98.935,95.3057,94.0882,99.5208,103.4374,105.1831,101.459
14,101.264,98.9941,98.8205,99.8737,96.9573,100.8633,102.4316,104.4842
15,103.9019,102.2034,100.0383,102.2658,102.3398,99.1907,95.6878,102.2787
16,98.9058,101.77,102.0258,98.7954,100.4039,99.2279,95.1248,97.8574
17,101.1044,98.8655,104.9248,99.6902,99.8799,98.2598,100.5897,99.2053
18,101.1938,102.8095,99.4905,103.6213,100.5609,103.8361,97.179,100.4523
19,101.4804,100.3785,100.3793,98.8576,101.7787,97.1478,102.3733,96.6762
20,100.8176,101.7891,100.6745,99.067,100.8979,99.3947,99.2164,104.2622
21,101.8515,100.5064,102.1164,98.8171,101.5241,101.6714,102.6615,97.9313
22,99.7853,99.7491,102.7232,101.8783,99.2851,101.7472,104.2375,103.1631
23,99.8219,99.1603,97.5965,101.0686,100.6993,98.8258,98.2007,101.662
24,99.3251,99.8754,101.2883,96.8724,99.0274,100.0315,100.1247,98.0214
25,102.3176,99.3695,102.82,102.8043,96.2814,99.7593,101.448,101.9107
26,97.561,103.1959,102.7699,104.4281,102.4761,95.7601,95.659,98.3838
27,99.1011,99.4718,103.0971,101.9285,104.8762,102.6118,97.682,95.5201
28,97.2843,99.9959,97.8549,101.4797,97.9066,104.4027,104.2587,97.4824
29,98.3734,103.8078,99.8292,95.393,99.6756,96.0395,107.0273,103.6363
