Lot,Wafer,Site,Etch_Rate_nm_min,CD_nm,Uniformity_pct,Chamber_Pressure_mTorr,RF_Power_W,Temperature_C,Gas_Flow_sccm
LOT01,1,1,443.66,127.07,2.874,37.47,1510.1,65.6,124.1
LOT01,1,2,451.92,127.68,2.457,35.85,1507.7,66.25,114.4
LOT01,1,3,434.83,130.43,2.392,33.68,1484.1,65.62,120.3
LOT01,1,4,461.17,126.39,2.502,33.64,1473.3,66.04,118.6
LOT01,1,5,455.11,126.73,2.569,33.86,1537.9,63.24,118.1
LOT01,2,1,447.66,126.68,2.035,35.59,1494.0,65.67,122.0
LOT01,2,2,447.5,129.8,2.833,36.52,1498.3,64.84,121.4
LOT01,2,3,452.43,126.72,3.376,32.7,1486.7,64.87,117.0
LOT01,2,4,447.86,126.7,2.826,35.73,1535.0,66.95,121.2
LOT01,2,5,448.19,127.75,1.921,36.11,1527.9,64.27,120.7
LOT01,3,1,455.76,126.73,2.538,35.38,1474.5,64.0,117.6
LOT01,3,2,454.12,125.97,1.794,38.88,1498.1,63.03,115.5
LOT01,3,3,449.49,127.8,1.768,35.64,1476.9,64.56,122.2
LOT01,3,4,449.32,129.1,2.764,35.04,1546.4,66.61,121.9
LOT01,3,5,451.29,127.33,2.531,35.73,1511.1,62.5,121.4
LOT01,4,1,445.09,129.34,2.225,34.35,1493.0,65.38,118.3
LOT01,4,2,446.77,127.73,1.665,33.68,1491.6,61.2,123.4
LOT01,4,3,454.39,126.39,1.992,35.51,1513.6,63.96,130.0
LOT01,4,4,448.96,129.46,2.565,36.38,1493.8,65.66,120.3
LOT01,4,5,439.0,130.26,2.513,34.72,1538.6,64.19,121.4
LOT01,5,1,446.18,127.94,2.776,36.11,1476.8,63.2,117.4
LOT01,5,2,455.25,124.23,3.109,34.55,1469.1,64.45,117.4
LOT01,5,3,448.14,126.45,2.364,36.96,1535.3,66.48,125.0
LOT01,5,4,448.81,125.55,2.688,35.26,1489.4,67.24,126.5
LOT01,5,5,455.13,127.01,2.445,35.64,1535.5,67.27,119.1
LOT02,1,1,464.6,125.47,2.301,35.92,1522.0,66.02,117.9
LOT02,1,2,444.29,128.48,2.402,33.38,1466.0,65.54,117.1
LOT02,1,3,460.79,126.94,2.884,34.78,1484.8,66.48,118.0
LOT02,1,4,440.16,127.14,2.089,37.21,1501.2,63.27,119.9
LOT02,1,5,451.4,125.6,2.956,35.04,1494.5,63.55,116.1
LOT02,2,1,440.64,127.86,3.091,36.68,1507.6,66.94,117.7
LOT02,2,2,460.81,126.24,2.514,36.06,1484.7,66.28,122.6
LOT02,2,3,456.67,126.79,2.602,32.81,1497.9,66.31,119.3
LOT02,2,4,459.1,125.11,1.935,35.85,1525.0,65.33,117.4
LOT02,2,5,442.92,128.03,3.444,33.69,1533.3,63.76,116.3
LOT02,3,1,455.48,126.9,2.892,35.31,1480.2,63.38,122.9
LOT02,3,2,445.85,128.12,2.569,34.5,1494.2,66.41,116.6
LOT02,3,3,446.34,129.2,2.523,35.03,1496.8,66.62,119.3
